"Urls","headlines","archiveDate"
"http://web.archive.org/web/20191221010504/https://www.espn.com/nfl/","Ward wants Gatorade shower if Jets top Steelers","2019-12-21"
"http://web.archive.org/web/20191221010504/https://www.espn.com/nfl/","Steelers waive S Kelly after arrest outside bar","2019-12-21"
"http://web.archive.org/web/20191221010504/https://www.espn.com/nfl/","Jones back to start for Giants over Manning","2019-12-21"
"http://web.archive.org/web/20191221010504/https://www.espn.com/nfl/","JuJu: Knee not 100 percent, is a game-time call","2019-12-21"
"http://web.archive.org/web/20191221010504/https://www.espn.com/nfl/","Getting Bred: Thomas gifts Saints Air Jordan 11s","2019-12-21"
"http://web.archive.org/web/20191222021025/https://www.espn.com/nfl/","Brady leads comeback as Pats clinch AFC East","2019-12-22"
"http://web.archive.org/web/20191222021025/https://www.espn.com/nfl/","Texans wrap up AFC South title, eye No. 3 seed","2019-12-22"
"http://web.archive.org/web/20191222021025/https://www.espn.com/nfl/","Brother of 49ers' Beathard fatally stabbed in fight","2019-12-22"
"http://web.archive.org/web/20191222021025/https://www.espn.com/nfl/","Vikings' Cook out vs. Pack; backup Mattison iffy","2019-12-22"
"http://web.archive.org/web/20191222021025/https://www.espn.com/nfl/","Sproles to retire, ending 15-year NFL career","2019-12-22"
"http://web.archive.org/web/20191222021025/https://www.espn.com/nfl/","Seahawks rule out OT Brown as injuries mount","2019-12-22"
"http://web.archive.org/web/20191222021025/https://www.espn.com/nfl/","Lions activate RB Johnson from injured reserve","2019-12-22"
"http://web.archive.org/web/20191223024658/https://www.espn.com/nfl/","Kyler Murray leaves game with hamstring injury","2019-12-23"
"http://web.archive.org/web/20191223024658/https://www.espn.com/nfl/","Saints' Thomas breaks Harrison's catches record","2019-12-23"
"http://web.archive.org/web/20191223024658/https://www.espn.com/nfl/","Jackson mark leads Ravens to No. 1; Ingram hurt","2019-12-23"
"http://web.archive.org/web/20191223024658/https://www.espn.com/nfl/","Steelers banged up as playoff hopes take hit","2019-12-23"
"http://web.archive.org/web/20191223024658/https://www.espn.com/nfl/","Shurmur: Jones played 'heroic' with 5-TD game","2019-12-23"
"http://web.archive.org/web/20191223024658/https://www.espn.com/nfl/","Ex-Steeler Ward gets Gatorade bath after Jets win","2019-12-23"
"http://web.archive.org/web/20191223024658/https://www.espn.com/nfl/","Losing pays off for Bengals, who clinch No. 1 pick","2019-12-23"
"http://web.archive.org/web/20191224033740/https://www.espn.com/nfl/","Source: Seattle inks Turbin; Lynch has physical","2019-12-24"
"http://web.archive.org/web/20191224033740/https://www.espn.com/nfl/","Sources: McCarthy interviewed with Panthers","2019-12-24"
"http://web.archive.org/web/20191224033740/https://www.espn.com/nfl/","Cowboys LB Vander Esch (neck) out for season","2019-12-24"
"http://web.archive.org/web/20191224033740/https://www.espn.com/nfl/","Ravens to sit Lamar, other starters vs. Steelers","2019-12-24"
"http://web.archive.org/web/20191224033740/https://www.espn.com/nfl/","Sources: Eagles' Ertz has fractured rib; Ajayi cut","2019-12-24"
"http://web.archive.org/web/20191224033740/https://www.espn.com/nfl/","Gruden: Raiders won't rush back Jacobs, others","2019-12-24"
"http://web.archive.org/web/20191224033740/https://www.espn.com/nfl/","Fangio hopeful Lock is Broncos' franchise QB","2019-12-24"
"http://web.archive.org/web/20191225035928/https://www.espn.com/nfl/","Seahawks RB Lynch: Being back 'a great feeling'","2019-12-25"
"http://web.archive.org/web/20191225035928/https://www.espn.com/nfl/","Texans' Watt (muscle tear) returning to practice","2019-12-25"
"http://web.archive.org/web/20191225035928/https://www.espn.com/nfl/","Lamar gifts Rolex watches to Ravens' O-line","2019-12-25"
"http://web.archive.org/web/20191225035928/https://www.espn.com/nfl/","Beast Mode is back: RB Lynch joins Seahawks","2019-12-25"
"http://web.archive.org/web/20191225035928/https://www.espn.com/nfl/","Rams rule CB Ramsey (knee) out for finale","2019-12-25"
"http://web.archive.org/web/20191225035928/https://www.espn.com/nfl/","Packers run over Vikings to clinch NFC North","2019-12-25"
"http://web.archive.org/web/20191225035928/https://www.espn.com/nfl/","Steelers place QB Rudolph (shoulder) on IR","2019-12-25"
"http://web.archive.org/web/20191226034701/https://www.espn.com/nfl","Suspect in slaying of Beathard's brother arrested","2019-12-26"
"http://web.archive.org/web/20191226034701/https://www.espn.com/nfl","Big Ben: I'll be back 'stronger and better' in 2020","2019-12-26"
"http://web.archive.org/web/20191226034701/https://www.espn.com/nfl","Saints to play starters with shot at No. 1 or 2 seed","2019-12-26"
"http://web.archive.org/web/20191226034701/https://www.espn.com/nfl","Chiefs put RB Ware on IR, activate DT Williams","2019-12-26"
"http://web.archive.org/web/20191226034701/https://www.espn.com/nfl","Seahawks RB Lynch: Being back 'a great feeling'","2019-12-26"
"http://web.archive.org/web/20191226034701/https://www.espn.com/nfl","Texans' Watt (muscle tear) returning to practice","2019-12-26"
"http://web.archive.org/web/20191226034701/https://www.espn.com/nfl","Lamar gifts Rolex watches to Ravens' O-line","2019-12-26"
"http://web.archive.org/web/20191227044016/https://www.espn.com/nfl","Giants' Golden earns $1M bonus after stat change","2019-12-27"
"http://web.archive.org/web/20191227044016/https://www.espn.com/nfl","Rodgers: I don't need 40 TD passes for us to win","2019-12-27"
"http://web.archive.org/web/20191227044016/https://www.espn.com/nfl","Rams DC Phillips not listening to reports of ouster","2019-12-27"
"http://web.archive.org/web/20191227044016/https://www.espn.com/nfl","Witten to decide future quickly at season's end","2019-12-27"
"http://web.archive.org/web/20191227044016/https://www.espn.com/nfl","Skin issue won't slow RB Jacobs, shoulder might","2019-12-27"
"http://web.archive.org/web/20191227044016/https://www.espn.com/nfl","Suspect in slaying of Beathard's brother arrested","2019-12-27"
"http://web.archive.org/web/20191227044016/https://www.espn.com/nfl","Washington QB Eason leaving to enter NFL draft","2019-12-27"
"http://web.archive.org/web/20191228062402/https://www.espn.com/nfl/","Saints work out AB, want clarity on eligibility","2019-12-28"
"http://web.archive.org/web/20191228062402/https://www.espn.com/nfl/","Beast Mode Apparel sales spike with RB's return","2019-12-28"
"http://web.archive.org/web/20191228062402/https://www.espn.com/nfl/","Brady, Favre, Montana highlight All-Time QB picks","2019-12-28"
"http://web.archive.org/web/20191228062402/https://www.espn.com/nfl/","Raiders' Jacobs (shoulder) doubtful for final week","2019-12-28"
"http://web.archive.org/web/20191228062402/https://www.espn.com/nfl/","No Conner for Steelers in must-win Ravens game","2019-12-28"
"http://web.archive.org/web/20191228062402/https://www.espn.com/nfl/","49ers' DL depth hit again as Taylor tears ACL","2019-12-28"
"http://web.archive.org/web/20191228062402/https://www.espn.com/nfl/","Bell wants in as Jets rebuild: 'I'm here for it'","2019-12-28"
"http://web.archive.org/web/20191229070329/https://www.espn.com/nfl/","Source: Allen done running Redskins' football ops","2019-12-29"
"http://web.archive.org/web/20191229070329/https://www.espn.com/nfl/","Lions WR Jones says 6-month-old son died Friday","2019-12-29"
"http://web.archive.org/web/20191229070329/https://www.espn.com/nfl/","Source: Ravens, Peters reach $42M extension","2019-12-29"
"http://web.archive.org/web/20191229070329/https://www.espn.com/nfl/","Source: Texans ink Mercilus to 4-year, $54M deal","2019-12-29"
"http://web.archive.org/web/20191229070329/https://www.espn.com/nfl/","Sources: Rivera is primary candidate for Redskins","2019-12-29"
"http://web.archive.org/web/20191229070329/https://www.espn.com/nfl/","Sources: Jaguars planning to dismiss Marrone","2019-12-29"
"http://web.archive.org/web/20191229070329/https://www.espn.com/nfl/","Todd McShay's ‘20 NFL Mock Draft 1.0","2019-12-29"
"http://web.archive.org/web/20191230015235/http://www.espn.com/nfl/","Banged-up Eagles keep rolling to clinch NFC East","2019-12-30"
"http://web.archive.org/web/20191230015235/http://www.espn.com/nfl/","","2019-12-30"
"http://web.archive.org/web/20191230015235/http://www.espn.com/nfl/","","2019-12-30"
"http://web.archive.org/web/20191230015235/http://www.espn.com/nfl/","","2019-12-30"
"http://web.archive.org/web/20191230015235/http://www.espn.com/nfl/","","2019-12-30"
"http://web.archive.org/web/20191230015235/http://www.espn.com/nfl/","","2019-12-30"
"http://web.archive.org/web/20191230015235/http://www.espn.com/nfl/","","2019-12-30"
"http://web.archive.org/web/20191231005148/https://www.espn.com/nfl","Cowboys yet to announce decision on Garrett","2019-12-31"
"http://web.archive.org/web/20191231005148/https://www.espn.com/nfl","","2019-12-31"
"http://web.archive.org/web/20191231005148/https://www.espn.com/nfl","","2019-12-31"
"http://web.archive.org/web/20191231005148/https://www.espn.com/nfl","","2019-12-31"
"http://web.archive.org/web/20191231005148/https://www.espn.com/nfl","","2019-12-31"
"http://web.archive.org/web/20191231005148/https://www.espn.com/nfl","","2019-12-31"
"http://web.archive.org/web/20191231005148/https://www.espn.com/nfl","","2019-12-31"
"http://web.archive.org/web/20200101051850/https://www.espn.com/nfl/","General manager Dorsey, Browns opt to part ways","2020-01-01"
"http://web.archive.org/web/20200102093638/https://www.espn.com/nfl/","Source: Garrett to meet with Jones again Thurs.","2020-01-02"
"http://web.archive.org/web/20200103043115/https://www.espn.com/nfl/","Polamalu, former WR Wayne finalists for Canton","2020-01-03"
"http://web.archive.org/web/20200104040407/https://www.espn.com/nfl/","Lamar: Wild-card loss in 2019 'still motivates me'","2020-01-04"
"http://web.archive.org/web/20200105151600/https://www.espn.com/nfl/","Brady after Pats' loss: Retirement 'pretty unlikely'","2020-01-05"
"http://web.archive.org/web/20200106034428/http://www.espn.com/nfl/","Eagles: Hit on Wentz dirty; Clowney denies intent","2020-01-06"
"http://web.archive.org/web/20200107001009/http://www.espn.com/nfl/","Sources: DC Phillips won't be returning to Rams","2020-01-07"
"http://web.archive.org/web/20200108004630/https://www.espn.com/nfl/","Sources: Giants to hire Patriots' Judge as coach","2020-01-08"
"http://web.archive.org/web/20200109043307/http://www.espn.com/nfl/","Vikes' Thielen suffers ankle injury; Diggs sits out","2020-01-09"
"http://web.archive.org/web/20200110000529/http://www.espn.com/nfl/","Vikes' Thielen questionable with ankle stitches","2020-01-10"
"http://web.archive.org/web/20200111073856/http://www.espn.com/nfl/","Chiefs DT Jones (calf) listed as questionable","2020-01-11"
"http://web.archive.org/web/20200112042251/https://www.espn.com/nfl/","Near full strength, 49ers' defense shines in win","2020-01-12"
"http://web.archive.org/web/20200113035543/https://www.espn.com/nfl/","Pack, led by rookie coach, back in NFC title game","2020-01-13"
"http://web.archive.org/web/20200114022213/https://www.espn.com/nfl/","Packers to closely dissect Week 12 loss to 49ers","2020-01-14"
"http://web.archive.org/web/20200115035230/https://www.espn.com/nfl/","Tua to throw ahead of draft, but not at combine","2020-01-15"
"http://web.archive.org/web/20200117082155/http://www.espn.com:80/nfl","Burrow would be happy with Bengals, says dad","2020-01-17"
"http://web.archive.org/web/20200120072050/http://www.espn.com/nfl/","Chiefs slight favorites over 49ers in Super Bowl","2020-01-20"
"http://web.archive.org/web/20200123105220/http://www.espn.com:80/nfl","NFL: Reported concussions rose slightly in 2019","2020-01-23"
"http://web.archive.org/web/20200124052800/http://www.espn.com/nfl/","NFL: Reported concussions rose slightly in 2019","2020-01-24"
"http://web.archive.org/web/20200125092334/https://www.espn.com/nfl/","49ers' Kittle taking family of fallen soldier to SB","2020-01-25"
"http://web.archive.org/web/20200127000556/https://www.espn.com/nfl/","Sources: Judon expected to draw trade interest","2020-01-27"
"http://web.archive.org/web/20200128012945/https://www.espn.com/nfl/","Dashcam video: Hunt says he'd fail drug test","2020-01-28"
"http://web.archive.org/web/20200129023328/https://www.espn.com/nfl/","Chiefs: Mahomes' extension may be year away","2020-01-29"
"http://web.archive.org/web/20200130031249/https://www.espn.com/nfl/","Goodell says NFL needs changes to Rooney Rule","2020-01-30"
"http://web.archive.org/web/20200131050202/https://www.espn.com/nfl/","Panthers, Olsen part ways; TE still wants to play","2020-01-31"
"http://web.archive.org/web/20200201053400/https://www.espn.com/nfl/","49ers, Chiefs healthy entering Super Bowl LIV","2020-02-01"
