"Date","Visitor","Home","Away_final_score","Home_final_score","Moneyline_away","Moneyline_home","Opening_spread","Closing_spread","Opening_total","Closing_total","Away_spread_Open","Home_spread_Open","Away_spread_Close","Home_spread_Close","2H_spread","2H_total"
2007-09-16,"Minnesota","Detroit",17,20,-175,155,3.5,3,40,43.5,"- 3.5","+ 3.5","- 3","+ 3",0,20
2007-09-16,"Dallas","Miami",37,20,155,-175,4,3,39,39,"+ 4","- 4","+ 3","- 3",1,17.5
2007-09-16,"Seattle","Arizona",20,23,125,-145,3,2.5,45,42.5,"+ 3","- 3","+ 2.5","- 2.5",3,21
2007-09-16,"NYJets","Baltimore",13,20,-475,395,12.5,9,34,32.5,"- 12.5","+ 12.5","- 9","+ 9",3.5,16.5
2007-09-16,"Oakland","Denver",20,23,-500,400,9.5,9.5,37,37,"- 9.5","+ 9.5","- 9.5","+ 9.5",3.5,17
2007-09-16,"KansasCity","Chicago",10,20,-625,500,12.5,11.5,36,35.5,"- 12.5","+ 12.5","- 11.5","+ 11.5",4,17
2007-09-16,"SanDiego","NewEngland",14,38,-200,170,4,3.5,47,46,"- 4","+ 4","- 3.5","+ 3.5",3,21
2007-09-17,"Washington","Philadelphia",20,12,-300,250,7,6.5,41,39,"- 7","+ 7","- 6.5","+ 6.5",5,18.5
2007-09-23,"Indianapolis","HoustonTexans",30,24,260,-310,5.5,6.5,48,46,"+ 5.5","- 5.5","+ 6.5","- 6.5",3,23
2007-09-23,"SanDiego","GreenBay",24,31,235,-275,4,5.5,46,42.5,"+ 4","- 4","+ 5.5","- 5.5",4,22.5
2007-09-23,"Minnesota","KansasCity",10,13,-165,145,1.5,3,33,34.5,"- 1.5","+ 1.5","- 3","+ 3",3,17
2007-09-23,"Detroit","Philadelphia",21,56,-230,190,6.5,4.5,44,44.5,"- 6.5","+ 6.5","- 4.5","+ 4.5",1,24
2007-09-23,"Buffalo","NewEngland",7,38,-2200,1350,16.5,16.5,42,41,"- 16.5","+ 16.5","- 16.5","+ 16.5",7.5,20
2007-09-23,"Miami","NYJets",28,31,-175,155,3,3,35.5,36.5,"- 3","+ 3","- 3","+ 3",1,17.5
2007-09-23,"SanFrancisco","Pittsburgh",16,37,-600,475,8,10,37,37.5,"- 8","+ 8","- 10","+ 10",4,17.5
2007-09-23,"Arizona","Baltimore",23,26,-330,280,7.5,7,35,36,"- 7.5","+ 7.5","- 7","+ 7",0,17.5
2007-09-23,"St.Louis","TampaBay",3,24,-190,160,3,3.5,38,39,"- 3","+ 3","- 3.5","+ 3.5",0,17
2007-09-23,"Jacksonville","Denver",23,14,-200,170,3,3.5,35.5,36,"- 3","+ 3","- 3.5","+ 3.5",3,17.5
2007-09-23,"Cincinnati","Seattle",21,24,-175,155,3,3,49,49,"- 3","+ 3","- 3","+ 3",0,24
2007-09-23,"Cleveland","Oakland",24,26,-160,140,3,3,37,41.5,"- 3","+ 3","- 3","+ 3",0,20.5
2007-09-23,"Carolina","Atlanta",27,20,190,-230,4,4,36.5,38,"+ 4","- 4","+ 4","- 4",3,20
2007-09-23,"NYGiants","Washington",24,17,-205,175,3.5,3.5,41,42,"- 3.5","+ 3.5","- 3.5","+ 3.5",0,20
2007-09-23,"Dallas","Chicago",34,10,-160,140,3,3,43.5,41.5,"- 3","+ 3","- 3","+ 3",2.5,19.5
2007-09-24,"Tennessee","NewOrleans",31,14,-235,195,5,4.5,45.5,46,"- 5","+ 5","- 4.5","+ 4.5",3,22.5
2007-09-30,"Oakland","Miami",35,17,-200,170,4,3.5,40,39.5,"- 4","+ 4","- 3.5","+ 3.5",3,19.5
2007-09-30,"HoustonTexans","Atlanta",16,26,120,-140,3,2.5,39.5,39.5,"+ 3","- 3","+ 2.5","- 2.5",3,19.5
2007-09-30,"Baltimore","Cleveland",13,27,160,-190,4.5,3.5,38,40,"+ 4.5","- 4.5","+ 3.5","- 3.5",3,20.5
2007-09-30,"Chicago","Detroit",27,37,120,-140,3,2.5,44,46,"+ 3","- 3","+ 2.5","- 2.5",0,21
2007-09-30,"GreenBay","Minnesota",23,16,-105,-115,1,0,40,38,"+ 1","- 1","+ 0","- 0",0,20
2007-09-30,"St.Louis","Dallas",7,35,-800,600,11,13,45,47,"- 11","+ 11","- 13","+ 13",6.5,23
2007-09-30,"NYJets","Buffalo",14,17,170,-200,4.5,3,37,37.5,"+ 4.5","- 4.5","+ 3","- 3",3,17
2007-09-30,"TampaBay","Carolina",20,7,-155,135,3,3,39.5,38.5,"- 3","+ 3","- 3","+ 3",3,17.5
2007-09-30,"Seattle","SanFrancisco",23,3,105,-125,2,1.5,41.5,40,"+ 2","- 2","+ 1.5","- 1.5",0,17.5
2007-09-30,"Pittsburgh","Arizona",14,21,200,-240,4,5.5,40,42.5,"+ 4","- 4","+ 5.5","- 5.5",0,20
2007-09-30,"KansasCity","SanDiego",30,16,-1000,700,12.5,12.5,40,39,"- 12.5","+ 12.5","- 12.5","+ 12.5",4,19.5
2007-09-30,"Denver","Indianapolis",20,38,-550,450,9.5,10,46,46.5,"- 9.5","+ 9.5","- 10","+ 10",6.5,23.5
2007-09-30,"Philadelphia","NYGiants",3,16,110,-130,3,2,48,47.5,"+ 3","- 3","+ 2","- 2",0,22.5
2007-10-01,"NewEngland","Cincinnati",34,13,300,-360,6,7.5,52,54,"+ 6","- 6","+ 7.5","- 7.5",3,27
2007-10-07,"Carolina","NewOrleans",16,13,-200,170,2.5,3.5,45,43.5,"- 2.5","+ 2.5","- 3.5","+ 3.5",3,20.5
2007-10-07,"Jacksonville","KansasCity",17,7,110,-130,2,2,34,35.5,"+ 2","- 2","+ 2","- 2",0,17
